Rank,Movie,Release,Distributor,Genre,2019 Gross,Tickets Sold
,,Date,,,,
137,Swan Song,8/6/2021,Magnolia Pictures,Drama,"$114,220 ","12,469"
138,Gunda,4/16/2021,Neon,Documentary,"$113,591 ","12,400"
139,The World to Come,2/12/2021,Bleecker Street,Drama,"$113,079 ","12,344"
140,The Paper Tigers,5/7/2021,Well Go USA,Action,"$112,691 ","12,302"
141,The Loneliest Whale: The Se…,7/9/2021,Bleecker Street,Documentary,"$107,799 ","11,768"
142,Safer at Home,2/26/2021,Vertical Entertai…,Thriller/Suspense,"$95,643 ","10,441"
143,Psycho Goreman,1/22/2021,RLJ Entertainment,Horror,"$95,100 ","10,382"
144,Censor,6/11/2021,Magnolia Pictures,Horror,"$90,050 ","9,830"
145,Mission Stories,5/7/2021,Excel Entertainment,Drama,"$87,059 ","9,504"
147,Undine,6/4/2021,IFC Films,Drama,"$79,174 ","8,643"
148,Riders of Justice,5/14/2021,Magnet Releasing,Comedy,"$77,115 ","8,418"
149,CatVideoFest,7/23/2021,Oscilloscope Pict…,Documentary,"$73,015 ","7,971"
150,The Killing of Two Lovers,5/14/2021,Neon,Drama,"$72,110 ","7,872"
151,Summertime,7/9/2021,Good Deed Enterta…,Drama,"$72,012 ","7,861"
152,Summer of 85,6/18/2021,Music Box Films,Drama,"$70,992 ","7,750"
154,Silo,5/7/2021,Oscilloscope Pict…,Drama,"$62,873 ","6,863"
155,Come True,3/12/2021,IFC Midnight,Horror,"$62,080 ","6,777"
156,Demonic,8/20/2021,IFC Midnight,Horror,"$61,195 ","6,680"
157,Lansky,6/25/2021,Vertical Entertai…,Thriller/Suspense,"$61,030 ","6,662"
159,Son,3/5/2021,RLJ Entertainment,Horror,"$55,068 ","6,011"
160,My Salinger Year,3/5/2021,IFC Films,Drama,"$54,730 ","5,974"
161,Truman & Tennessee: An Inti…,6/17/2021,Kino Lorber,Documentary,"$54,149 ","5,911"
163,Dara Of Jasenovac,2/5/2021,101 Studios,Drama,"$52,786 ","5,762"
164,My Zoe,2/26/2021,Blue Fox Entertai…,Thriller/Suspense,"$52,733 ","5,756"
165,About Endlessness,4/30/2021,Magnolia Pictures,Drama,"$51,386 ","5,609"
166,The Vigil,2/26/2021,IFC Midnight,Horror,"$50,439 ","5,506"
167,Without Getting Killed or C…,7/23/2021,Good Deed Enterta…,Documentary,"$48,313 ","5,274"
168,Last Call,3/19/2021,IFC Films,Comedy,"$48,144 ","5,255"
169,Ema,8/13/2021,Music Box Films,Drama,"$47,783 ","5,216"
170,MLK/FBI,1/15/2021,IFC Films,Documentary,"$45,200 ","4,934"
171,Some Kind of Heaven,1/8/2021,Magnolia Pictures,Documentary,"$45,068 ","4,920"
172,Death Rider in the House of…,8/20/2021,Atlas Distribution,Horror,"$44,736 ","4,883"
174,Senior Moment,3/26/2021,Screen Media Films,Comedy,"$41,598 ","4,541"
175,Little Fish,2/5/2021,IFC Films,Drama,"$39,053 ","4,263"
176,"All Light, Everywhere",6/4/2021,Super LTD,Documentary,"$37,266 ","4,068"
177,The Human Factor,5/7/2021,Sony Pictures Cla…,Documentary,"$36,693 ","4,005"
178,On Broadway,8/20/2021,Kino Lorber,Documentary,"$36,368 ","3,970"
180,Mainstream,5/7/2021,IFC Films,Comedy,"$35,481 ","3,873"
181,Bloody Hell,1/14/2021,Entertainment Squad,Horror,"$33,170 ","3,621"
182,The God Committee,7/2/2021,Vertical Entertai…,Thriller/Suspense,"$32,934 ","3,595"
183,Monday,4/16/2021,IFC Films,Drama,"$30,932 ","3,376"
184,The Perfect Candidate,5/14/2021,Music Box Films,Drama,"$30,134 ","3,289"
185,Confetti,8/20/2021,Dada Films,Drama,"$29,842 ","3,257"
186,Trigger Point,4/16/2021,Screen Media Films,Action,"$29,262 ","3,194"
187,Cryptozoo,8/20/2021,Magnolia Pictures,Adventure,"$29,225 ","3,190"
188,Settlers,7/23/2021,IFC Midnight,Western,"$29,183 ","3,185"
189,Mama Weed,7/16/2021,Music Box Films,Comedy,"$29,040 ","3,170"
190,Holler,6/11/2021,IFC Films,Drama,"$28,706 ","3,133"
191,Jakob’s Wife,4/16/2021,RLJ Entertainment,Horror,"$27,588 ","3,011"
192,Our Ladies,6/18/2021,Sony Pictures,Comedy,"$27,558 ","3,008"
193,The Night,1/29/2021,IFC Midnight,Thriller/Suspense,"$26,136 ","2,853"
194,Tango Shalom,9/3/2021,Vision Films,Comedy,"$25,350 ","2,767"
195,John and the Hole,8/6/2021,IFC Films,Thriller/Suspense,"$25,327 ","2,764"
196,Moffie,4/9/2021,IFC Films,Drama,"$24,520 ","2,676"
197,The Violent Heart,2/19/2021,Gravitas Ventures,Thriller/Suspense,"$23,614 ","2,577"
198,Gully,6/4/2021,Vertical Entertai…,Drama,"$22,517 ","2,458"
200,A Soldier’s Story 2: Return…,6/26/2021,Indican Pictures,Action,"$21,543 ","2,351"
202,Mandibles,7/23/2021,Magnolia Pictures,Comedy,"$19,913 ","2,173"
203,Delete History,3/19/2021,Mongrel Media,Comedy,"$19,390 ","2,116"
204,Mystery of the Kingdom of God,3/26/2021,Atlas Distribution,Adventure,"$17,316 ","1,890"
205,"Ma Belle, My Beauty",8/20/2021,Good Deed Enterta…,Drama,"$17,133 ","1,870"
206,How It Ends,7/20/2021,United Artists,Comedy,"$16,104 ","1,758"
207,First Date,7/2/2021,Magnolia Pictures,Comedy,"$15,974 ","1,743"
208,Equal Standard,5/7/2021,Mutiny Pictures,Action,"$15,938 ","1,739"
209,Even in Dreams,8/6/2021,Purdie Distribution,Drama,"$15,671 ","1,710"
210,No Ordinary Man,7/16/2021,Oscilloscope Pict…,Documentary,"$15,508 ","1,693"
212,We Broke Up,4/16/2021,Vertical Entertai…,Romantic Comedy,"$15,063 ","1,644"
213,Never Gonna Snow Again,7/30/2021,Kino Lorber,Comedy,"$14,956 ","1,632"
214,Death of a Ladies’ Man,3/12/2021,Mongrel Media,Drama,"$14,032 ","1,531"
215,American Traitor: The Trial…,5/28/2021,Vertical Entertai…,Drama,"$14,000 ","1,528"
216,Secret Agent Dingledorf and…,7/23/2021,Atlas Distribution,Comedy,"$13,760 ","1,502"
217,Bring Your Own Brigade,8/6/2021,Paramount Pictures,Documentary,"$13,375 ","1,460"
218,Stray,3/5/2021,Magnolia Pictures,Documentary,"$13,325 ","1,454"
219,Lydia Lunch: The War is Nev…,6/30/2021,Kino Lorber,Documentary,"$12,797 ","1,397"
220,Lorelei,7/30/2021,Vertical Entertai…,Drama,"$12,642 ","1,380"
221,State Funeral,5/7/2021,MUBI,Documentary,"$12,424 ","1,356"
222,The Meaning of Hitler,8/13/2021,IFC Films,Documentary,"$12,252 ","1,337"
